osm_id,name,advertising,lat,lon,geom_source
13202931835,(ohne Name),column,49.4119893,11.0759635,point
13226407773,(ohne Name),NA,49.5175765,11.0024741,point
13236842075,(ohne Name),totem,49.5186506,11.0022965,point
13236842076,(ohne Name),totem,49.5170116,11.0024432,point
13236842077,(ohne Name),sign,49.5169644,11.0020681,point
13240488882,(ohne Name),column,49.4191584,11.0243303,point
13243291507,(ohne Name),billboard,49.4373346,11.1332795,point
13247204789,(ohne Name),billboard,49.4056098,11.0345386,point
13247204791,(ohne Name),column,49.4248674,11.0247354,point
13247224071,(ohne Name),billboard,49.3883824,11.0326961,point
13247226764,(ohne Name),board,49.4046162,11.0348914,point
13247228167,(ohne Name),billboard,49.420643,11.0357314,point
13247238128,(ohne Name),billboard,49.4227316,11.0138852,point
13247244128,(ohne Name),billboard,49.4206711,11.0357289,point
13247244870,(ohne Name),billboard,49.3879418,11.0328676,point
13247246986,(ohne Name),billboard,49.3883671,11.0326886,point
13247248473,(ohne Name),billboard,49.4190712,11.036073,point
13247249143,(ohne Name),billboard,49.3883972,11.0327008,point
13247251816,(ohne Name),billboard,49.4227524,11.013917,point
13247252277,(ohne Name),billboard,49.4191002,11.0360582,point
13247253780,(ohne Name),billboard,49.4233472,11.0121721,point
13247256021,(ohne Name),billboard,49.4190391,11.0360765,point
13247258181,(ohne Name),billboard,49.4233388,11.0121368,point
13247269181,(ohne Name),billboard,49.4272535,11.0127699,point
13249140883,(ohne Name),billboard,49.4212189,11.0349991,point
13249168057,(ohne Name),billboard,49.4211798,11.0349032,point
13249192865,(ohne Name),billboard,49.4200236,11.0358924,point
13249197839,(ohne Name),billboard,49.4212018,11.0349483,point
13249221571,(ohne Name),column,49.4499128,11.0678378,point
13250039862,(ohne Name),billboard,49.4123075,11.0338085,point
13251974193,(ohne Name),billboard,49.4813933,11.1975128,point
13252167825,(ohne Name),column,49.4583256,11.0655441,point
13344514193,(ohne Name),screen,49.450481,11.1046093,point
13404756204,(ohne Name),billboard,49.428613,11.0161559,point
13446056248,(ohne Name),poster_box,49.4657856,11.0967313,point
13477091495,(ohne Name),billboard,49.4298295,11.0162702,point
13477096705,(ohne Name),billboard,49.4298523,11.0162997,point
160982997,(ohne Name),showcase,49.450052376268076,11.07588151890725,polygon_centroid
290445855,(ohne Name),column,49.43849593016789,11.099541500093743,polygon_centroid
568710937,(ohne Name),column,49.45888145587661,11.096404155327589,polygon_centroid
597030884,(ohne Name),column,49.43828944454488,11.09976941796544,polygon_centroid
683366565,(ohne Name),column,49.45685636064258,11.081045311062775,polygon_centroid
690746071,(ohne Name),column,49.44003089765563,11.103196238254393,polygon_centroid
702891103,(ohne Name),column,49.39521855223371,11.03811995358932,polygon_centroid
760789350,(ohne Name),column,49.458912647518666,11.141689242272621,polygon_centroid
814605561,(ohne Name),column,49.44983044480386,11.070735288587287,polygon_centroid
832668075,(ohne Name),column,49.44852015073487,11.064212012510716,polygon_centroid
1219355680,(ohne Name),column,49.4703939377703,11.106954733903088,polygon_centroid
1424448464,(ohne Name),column,49.41060340711723,11.165408184115261,polygon_centroid
370136860,(ohne Name),billboard,49.36450205001611,11.04989609998453,line_centroid
372669271,(ohne Name),billboard,49.36933805001837,11.044722850073066,line_centroid
372814932,(ohne Name),billboard,49.36964865000519,11.044349500021777,line_centroid
863996835,(ohne Name),billboard,49.44148875000015,11.015660400004286,line_centroid
863996836,(ohne Name),billboard,49.44104420004316,11.016441550013875,line_centroid
1146408289,(ohne Name),billboard,49.4638254000089,11.016065950015768,line_centroid
1152619443,(ohne Name),billboard,49.46509820000908,11.046534100023797,line_centroid
1417051119,(ohne Name),billboard,49.453122750040386,11.021271200026957,line_centroid
1424467746,(ohne Name),billboard,49.474653200007715,11.119792399996372,line_centroid
1433398448,SSF-Verbindungsteile Wetzlarer Straße 15 Darahtanlieferung,totem,49.51701157487814,11.002443197317586,line_centroid
1433398449,SSF-Verbindungsteile Wetzlarer Straße 19,totem,49.51757589210887,11.002462750734123,line_centroid
1433398450,SSF-Verbindungsteile Wetzlarer Straße 21 Besucherparkplätze Anmeldung /^\ <-- (LKW): /^\ <-- Warenannahme /^\ <-- Versand /^\ <-- Wetzlarer Straße 23 (/^\ <-- Danach geradeaus und in 70 Metern links abbiegen.),totem,49.518106642775784,11.002386900903051,line_centroid
1433606263,SFF Wandgemälde,wall_painting,49.51792415927494,11.00071049890839,line_centroid
1433606268,SSF-Verbindungsteile Wetzlarer Straße 21 (LKW:) Warenannahme --> (Rechts) Versand --> (Rechts) Wetzlarer Straße 23 --> (Rechts) (Links) <-- Drahtanlieferung (Links) <-- Wetzlarer Straße 15,totem,49.51865060557928,11.002296453423238,line_centroid
1433606269,(ohne Name),sign,49.51859831668078,11.002135819307943,line_centroid
1434047983,(ohne Name),sign,49.51823225000003,11.00221255000089,line_centroid
1434404116,SSF-Verbindungsteile <-- Darahtanlieferung <-- Büro,sign,49.51696424945463,11.002068129859689,line_centroid
